2025-02-07 22:14:56,129 - h
2025-02-07 22:14:57,927 -  Key.backspace 
2025-02-07 22:15:09,529 -  Key.caps_lock 
2025-02-07 22:15:10,348 - s
2025-02-07 22:15:10,497 - h
2025-02-07 22:15:10,540 -  Key.caps_lock 
2025-02-07 22:15:10,732 - o
2025-02-07 22:15:10,819 - w
2025-02-07 22:15:10,955 -  Key.space 
2025-02-07 22:15:11,131 - m
2025-02-07 22:15:11,164 - e
2025-02-07 22:15:11,334 -  Key.space 
2025-02-07 22:15:11,421 - a
2025-02-07 22:15:11,520 - n
2025-02-07 22:15:11,688 -  Key.space 
2025-02-07 22:15:11,808 - e
2025-02-07 22:15:12,016 - x
2025-02-07 22:15:12,175 - a
2025-02-07 22:15:12,322 - p
2025-02-07 22:15:12,497 - l
2025-02-07 22:15:12,622 - e
2025-02-07 22:15:12,753 -  Key.space 
2025-02-07 22:15:13,038 - h
2025-02-07 22:15:13,354 -  Key.backspace 
2025-02-07 22:15:13,549 - o
2025-02-07 22:15:13,643 - f
2025-02-07 22:15:13,785 -  Key.space 
2025-02-07 22:15:13,866 - t
2025-02-07 22:15:13,949 - h
2025-02-07 22:15:14,102 - i
2025-02-07 22:15:14,139 - s
2025-02-07 22:15:14,287 -  Key.space 
2025-02-07 22:15:14,353 - w
2025-02-07 22:15:14,479 - o
2025-02-07 22:15:14,579 - r
2025-02-07 22:15:14,670 - k
2025-02-07 22:15:14,818 - i
2025-02-07 22:15:14,982 - n
2025-02-07 22:15:15,081 - g
2025-02-07 22:15:15,199 -  Key.enter 
2025-02-07 22:16:06,399 - a
2025-02-07 22:16:06,778 - d
2025-02-07 22:16:07,924 -  Key.backspace 
2025-02-07 22:16:08,150 -  Key.backspace 
2025-02-07 22:16:40,796 - a
2025-02-07 22:16:42,563 -  Key.backspace 
2025-02-07 22:16:49,064 -  Key.cmd 
2025-02-07 22:16:55,003 - a
2025-02-07 22:16:55,158 - d
2025-02-07 22:16:55,344 - a
2025-02-07 22:16:55,448 - d
2025-02-07 22:16:56,028 - d
2025-02-07 22:16:56,170 - a
2025-02-07 22:16:56,269 - s
2025-02-07 22:16:56,280 - d
2025-02-07 22:16:56,422 - a
2025-02-07 22:16:56,499 - d
2025-02-07 22:16:57,146 -  Key.enter 
2025-02-07 22:16:57,574 - d
2025-02-07 22:16:57,699 - a
2025-02-07 22:16:57,833 - s
